xflr5 v6.48

Plane name :        Cy1
Polar name :        T1-143.0 m/s-LLT
Freestream speed : 143.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    8.900     0.000   1.041360   0.026357   0.024208   0.050565   0.000000  -0.000000  -0.496582   0.000000  -0.000000  143.0000     0.0705
    9.000     0.000   1.046393   0.026630   0.024681   0.051311   0.000000  -0.000000  -0.497828   0.000000   0.000000  143.0000     0.0703
    9.100     0.000   1.051378   0.026904   0.025169   0.052073   0.000000  -0.000000  -0.499061   0.000000  -0.000000  143.0000     0.0701
    9.200     0.000   1.056350   0.027178   0.025668   0.052846   0.000000  -0.000000  -0.500297   0.000000  -0.000000  143.0000     0.0700
    9.300     0.000   1.061368   0.027456   0.026188   0.053644   0.000000  -0.000000  -0.501579  -0.000000  -0.000000  143.0000     0.0698
    9.400     0.000   1.066345   0.027733   0.026720   0.054452   0.000000  -0.000000  -0.502846   0.000000   0.000000  143.0000     0.0696
    9.500     0.000   1.071287   0.028008   0.027254   0.055262   0.000000  -0.000000  -0.504093  -0.000000  -0.000000  143.0000     0.0694
    9.600     0.000   1.076367   0.028288   0.027810   0.056098   0.000000  -0.000000  -0.505434   0.000000  -0.000000  143.0000     0.0693
    9.700     0.000   1.081635   0.028574   0.028396   0.056969   0.000000  -0.000000  -0.506906   0.000000  -0.000000  143.0000     0.0691
    9.800     0.000   1.086965   0.028864   0.029000   0.057864   0.000000  -0.000000  -0.508431  -0.000000  -0.000000  143.0000     0.0690
    9.900     0.000   1.092404   0.029160   0.029627   0.058788   0.000000  -0.000000  -0.510034   0.000000  -0.000000  143.0000     0.0688
   10.000     0.000   1.097771   0.029453   0.030261   0.059714   0.000000  -0.000000  -0.511599   0.000000  -0.000000  143.0000     0.0687
   10.100     0.000   1.103098   0.029747   0.030906   0.060652   0.000000  -0.000000  -0.513150   0.000000   0.000000  143.0000     0.0685
   10.200     0.000   1.108327   0.030039   0.031592   0.061631   0.000000  -0.000000  -0.514686   0.000000  -0.000000  143.0000     0.0684
   10.300     0.000   1.113602   0.030334   0.032293   0.062627   0.000000  -0.000000  -0.516259   0.000000  -0.000000  143.0000     0.0683
   10.400     0.000   1.118877   0.030631   0.033039   0.063670   0.000000  -0.000000  -0.517875   0.000000  -0.000000  143.0000     0.0681
   10.500     0.000   1.124174   0.030932   0.033789   0.064721   0.000000  -0.000000  -0.519507   0.000000  -0.000000  143.0000     0.0680
   10.600     0.000   1.129198   0.031229   0.034545   0.065774   0.000000  -0.000000  -0.521003   0.000000  -0.000000  143.0000     0.0679
   10.700     0.000   1.132338   0.031477   0.035332   0.066808   0.000000  -0.000000  -0.521540   0.000000  -0.000000  143.0000     0.0677
   10.800     0.000   1.134596   0.031694   0.036136   0.067831   0.000000  -0.000000  -0.521631   0.000000   0.000000  143.0000     0.0676
   10.900     0.000   1.136129   0.031878   0.036974   0.068853   0.000000  -0.000000  -0.521383   0.000000  -0.000000  143.0000     0.0674
   11.000     0.000   1.136603   0.032018   0.037839   0.069857   0.000000  -0.000000  -0.520611  -0.000000  -0.000000  143.0000     0.0673
   11.100     0.000   1.137145   0.032146   0.038724   0.070870   0.000000  -0.000000  -0.519918   0.000000  -0.000000  143.0000     0.0672
   11.200     0.000   1.137991   0.032273   0.039638   0.071911   0.000000  -0.000000  -0.519484   0.000000  -0.000000  143.0000     0.0670
   11.300     0.000   1.138819   0.032395   0.040556   0.072952   0.000000  -0.000000  -0.519040   0.000000  -0.000000  143.0000     0.0669
   11.400     0.000   1.139968   0.032524   0.041498   0.074022   0.000000  -0.000000  -0.518850   0.000000  -0.000000  143.0000     0.0668
   11.500     0.000   1.141211   0.032656   0.042445   0.075101   0.000000   0.000000  -0.518729   0.000000  -0.000000  143.0000     0.0667
   11.600     0.000   1.141485   0.032764   0.043494   0.076258   0.000000  -0.000000  -0.518214   0.000000  -0.000000  143.0000     0.0666
   11.700     0.000   1.140464   0.032824   0.044681   0.077505   0.000000  -0.000000  -0.517180  -0.000000  -0.000000  143.0000     0.0665
   11.800     0.000   1.138749   0.032847   0.045942   0.078788   0.000000  -0.000000  -0.515877   0.000000  -0.000000  143.0000     0.0664
   11.900     0.000   1.136337   0.032836   0.047301   0.080137   0.000000  -0.000000  -0.514331   0.000000  -0.000000  143.0000     0.0663
   12.000     0.000   1.133462   0.032806   0.048723   0.081529   0.000000  -0.000000  -0.512646   0.000000   0.000000  143.0000     0.0663
   12.100     0.000   1.129830   0.032753   0.050259   0.083012   0.000000  -0.000000  -0.510766   0.000000  -0.000000  143.0000     0.0662
   12.200     0.000   1.125359   0.032675   0.051908   0.084582   0.000000  -0.000000  -0.508668   0.000000  -0.000000  143.0000     0.0662
   12.300     0.000   1.119249   0.032524   0.053783   0.086307   0.000000  -0.000000  -0.506116  -0.000000  -0.000000  143.0000     0.0662
   14.300     0.000   0.946715   0.028480   0.124360   0.152840   0.000000   0.000000  -0.463773   0.000000  -0.000000  143.0000     0.0726
   14.400     0.000   0.947572   0.028576   0.126337   0.154913   0.000000   0.000000  -0.464642   0.000000  -0.000000  143.0000     0.0727
   14.500     0.000   0.948201   0.028652   0.128287   0.156939   0.000000   0.000000  -0.465398   0.000000  -0.000000  143.0000     0.0728


